ID,trueAnnotation,Ignore,Annotation
https://www.idref.fr/19343668X,"['Monument de Thersilochos', 'Thasos', 'Το μνημείο του Θερσιλόχου', 'Θάσος', 'Salle hypostyle$', 'Terrain Sotiriadis']",[],"['Monument de Thersilochos', 'Thasos', 'Το μνημείο του Θερσιλόχου', 'Θάσος', 'Salle hypostyle$', 'Terrain Sotiriadis']"
https://www.idref.fr/193437422,"['Héracleion', 'Ηράκλειον', 'Θάσος', 'Thasos']",[],"['Héracleion', 'Ηράκλειον', 'Θάσος', 'Thasos']"
https://www.idref.fr/26127029X,"['Monastère byzantin', 'Thasos', 'Παλαιοχριστιανική οικία', 'Monastère Picard', 'Πρωτοβυζαντινή οικία ', 'DOM7', 'Maison protobyzantine', 'Θάσος', 'Demeure protobyzantine DOM7', 'Πρωτοβυζαντινή κατοικία ']",[],"['Monastère byzantin', 'Thasos', 'Παλαιοχριστιανική οικία', 'Monastère Picard', 'Πρωτοβυζαντινή οικία', 'DOM7', 'Maison protobyzantine', 'Θάσος', 'Demeure protobyzantine DOM7', 'Πρωτοβυζαντινή κατοικία']"
https://www.idref.fr/261052322,"['Thasos', 'Demeure protobyzantine ', 'DOM5', 'Παλαιοχριστιανική οικία', 'Πρωτοβυζαντινή οικία ', 'Θάσος', 'Maison protobyzantine', 'Maison protobyzantine ', 'Πρωτοβυζαντινή κατοικία ']",[],"['Thasos', 'Demeure protobyzantine', 'DOM5', 'Παλαιοχριστιανική οικία', 'Πρωτοβυζαντινή οικία', 'Θάσος', 'Maison protobyzantine', 'Maison protobyzantine', 'Πρωτοβυζαντινή κατοικία']"
https://www.idref.fr/258911964,"[""Porte d'Antonin le Pieux"", 'Porte des Fous', 'Hermonthis', 'Héliopolis de Haute-Égypte', 'Bab el-Maganin', 'Bāb al-Maǧanīn', 'Hermuntis', 'Hermunthus', 'Ermant', 'Bab el-Maganîn', 'Armant']",[],"[""Porte d' Antonin le Pieux"", 'Porte des Fous', 'Hermonthis', 'Héliopolis de Haute-Égypte', 'Bab el-Maganin', 'Bāb al-Maǧanīn', 'Hermuntis', 'Hermunthus', 'Ermant', 'Bab el-Maganîn', 'Armant']"
https://www.idref.fr/236151495,"['Temple de Montu-Re', 'Ārmnt', 'Maʿbad Mūntū', 'Maʻābid Mwntw', 'Temple de Montou', 'Temple de Montu', 'Temple de Montou-Rê', 'Héliopolis de Haute-Égypte', 'Hermuntis', 'Temple de Monthu', 'Hermunthus', 'Ermant', 'Hermonthis', 'Armant']",[],"['Temple de Montu-Re', 'Ārmnt', 'Maʿbad Mūntū', 'Maʻābid Mwntw', 'Temple de Montou', 'Temple de Montu', 'Temple de Montou-Rê', 'Héliopolis de Haute-Égypte', 'Hermuntis', 'Temple de Monthu', 'Hermunthus', 'Ermant', 'Hermonthis', 'Armant']"
https://www.idref.fr/059303050,"['Pyramide de Mykérinos', 'Gizeh', 'Pyramide de Menkaourê', 'Pyramide de Mycérinus', 'Grande Pyramide', 'Pyramide de Mykerinus']",[],"['Pyramide de Mykérinos', 'Gizeh', 'Pyramide de Menkaourê', 'Pyramide de Mycérinus', 'Grande Pyramide', 'Pyramide de Mykerinus']"
https://www.idref.fr/027694402,"['Karnak', 'Maʻābid Mūt', 'Temple de Mout', 'Karnac', 'El-Karnak', 'Carnac', 'Enceinte de Mout', 'Karnarc', 'Thèbes', 'Al-Karnak', 'Temple Mut']",[],"['Karnak', 'Maʻābid Mūt', 'Temple de Mout', 'Karnac', 'El-Karnak', 'Carnac', 'Enceinte de Mout', 'Karnarc', 'Thèbes', 'Al-Karnak', 'Temple Mut']"
https://www.idref.fr/14070034X,"['Delphes', ""Apollon , Sanctuaire d'"", ""Sanctuaire d'Apollon""]",[],"['Delphes', ""Apollon  , Sanctuaire d' "", ""Sanctuaire d' Apollon""]"
https://www.idref.fr/027322505,['Delphes'],[],['Delphes']
https://www.idref.fr/190237708,"['Al Harmal', 'Hermel', 'El Hermel']",[],"['Al Harmal', 'Hermel', 'El Hermel']"
https://www.idref.fr/02724301X,"['Rome', 'Roma']",[],"['Rome', 'Roma']"
https://www.idref.fr/027250407,"['Bologne', 'Bologna']",[],"['Bologne', 'Bologna']"
