,ID,trueAnnotation,Ignore,Annotation
923,https://www.idref.fr/191915742.rdf,"['Δήλος', 'Maison de Kerdon', 'Οικία του Κέρδωνος', 'House of Kerdon', 'Maison A', 'Delos', 'Délos']",['Maison A'],"['Δήλος', 'Maison de Kerdon', 'Οικία του Κέρδωνος', 'House of Kerdon', 'Maison A', 'Delos', 'Délos']"
924,https://www.idref.fr/191723045.rdf,"['Δήλος', 'Graphè', 'Γραφή', 'Graphe', 'Délos']",['Graphe'],"['Δήλος', 'Graphè', 'Γραφή', 'Graphe', 'Délos']"
925,https://www.idref.fr/192144391.rdf,"['Sarapieion B', 'Δήλος', 'Σαραπιείον Β', 'Délos', 'Serapieion B’']",[],"['Sarapieion B', 'Δήλος', 'Σαραπιείον Β', 'Délos', 'Serapieion B’']"
926,https://www.idref.fr/192143522.rdf,"['Δήλος', 'Samothrakeion', 'Kabireion', 'Samothraceion', 'Délos', 'Σαμοθράκειον', 'Sanctuaire des dieux de Samothrace']",[],"['Δήλος', 'Samothrakeion', 'Kabireion', 'Samothraceion', 'Délos', 'Σαμοθράκειον', 'Sanctuaire des dieux de Samothrace']"
927,https://www.idref.fr/191532746.rdf,"[""Sanctuaire d'Héraclès"", 'Δήλος', 'Cynthos cave', 'Ιερό του Ηρακλή', 'Antre du Cynthe', 'Délos', 'Σπήλαιο του Κύνθου']",[],"[""Sanctuaire d' Héraclès"", 'Δήλος', 'Cynthos cave', 'Ιερό του Ηρακλή', 'Antre du Cynthe', 'Délos', 'Σπήλαιο του Κύνθου']"
928,https://www.idref.fr/191841366.rdf,"['Δήλος', 'Fontaine minoenne', 'Kréné Minoé', 'Fontaine Minoé', 'Minoan Fountain', 'Délos', 'Μινώα Κρήνη']",[],"['Δήλος', 'Fontaine minoenne', 'Kréné Minoé', 'Fontaine Minoé', 'Minoan Fountain', 'Délos', 'Μινώα Κρήνη']"
929,https://www.idref.fr/192144200.rdf,"['Δήλος', 'Sarapieion A', 'Serapieion A’', 'Délos', 'Σαραπιείον Α']",[],"['Δήλος', 'Sarapieion A', 'Serapieion A’', 'Délos', 'Σαραπιείον Α']"
930,https://www.idref.fr/192081977.rdf,"['Δήλος', 'Στάδιον', 'Stadium', 'Stade', 'Délos']","['Στάδιον', 'Stade']","['Δήλος', 'Στάδιον', 'Stadium', 'Stade', 'Délos']"
931,https://www.idref.fr/192052519.rdf,"['Maison des bustes', 'Δήλος', 'Maison des sceaux', 'Οικία των Σφραγισμάτων', 'Délos', 'House of the seals', ""Maison au nord de l'Îlot des bronzes""]",[],"['Maison des bustes', 'Δήλος', 'Maison des sceaux', 'Οικία των Σφραγισμάτων', 'Délos', 'House of the seals', ""Maison au nord de l' Îlot des bronzes""]"
932,https://www.idref.fr/191842729.rdf,"['Οικία του μοναδικού κίονα', 'Maison C', 'House of the single column', 'Délos', 'Maison à une seule colonne']",[],"['Οικία του μοναδικού κίονα', 'Maison C', 'House of the single column', 'Délos', 'Maison à une seule colonne']"
933,https://www.idref.fr/19156897X.rdf,"['Sanctuaire des Douze Dieux', 'Dôdékathéon', 'Δωδεκάθεον', 'Dodekatheon', 'Délos', 'Ιερό των Δώδεκα Θεών']",[],"['Sanctuaire des Douze Dieux', 'Dôdékathéon', 'Δωδεκάθεον', 'Dodekatheon', 'Délos', 'Ιερό των Δώδεκα Θεών']"
934,https://www.idref.fr/192070185.rdf,"['Δήλος', 'Hypostyle hall', 'Υπόστυλη αίθουσα', 'Délos', 'Salle hypostyle']",[],"['Δήλος', 'Hypostyle hall', 'Υπόστυλη αίθουσα', 'Délos', 'Salle hypostyle']"
935,https://www.idref.fr/192144634.rdf,"['Δήλος', 'Sarapieion C', 'Serapieion C’', 'Σαραπιείον Γ', 'Délos']",[],"['Δήλος', 'Sarapieion C', 'Serapieion C’', 'Σαραπιείον Γ', 'Délos']"
936,https://www.idref.fr/191918261.rdf,"['Δήλος', 'Delos', 'Délos', 'Maison de Skardhana', 'Οικία του Σκαρδανά', 'House of Skardhana']",[],"['Δήλος', 'Delos', 'Délos', 'Maison de Skardhana', 'Οικία του Σκαρδανά', 'House of Skardhana']"
937,https://www.idref.fr/191916846.rdf,"['Δήλος', ""Maison de l'Hermès"", 'Οικία του Ερμή', 'Delos', 'House of the Hermes', 'Délos']",[],"['Δήλος', ""Maison de l' Hermès"", 'Οικία του Ερμή', 'Delos', 'House of the Hermes', 'Délos']"
938,https://www.idref.fr/192069349.rdf,"['Δήλος', 'Μνημείο του Γρανίτη', 'Monument de granit', 'Delos', 'Délos', 'Granite monument']",[],"['Δήλος', 'Μνημείο του Γρανίτη', 'Monument de granit', 'Delos', 'Délos', 'Granite monument']"
939,https://www.idref.fr/192071939.rdf,"['Δήλος', 'Παλαίστρα του Γρανίτη', 'Delos', 'Délos', 'Granite Palaestra', 'Palestre de granit']",[],"['Δήλος', 'Παλαίστρα του Γρανίτη', 'Delos', 'Délos', 'Granite Palaestra', 'Palestre de granit']"
940,https://www.idref.fr/02736206X.rdf,"['Sheikh-Abd-El Qurna', 'Sheikh Abd el-Qurna', 'Cheikh Abd el-Gourna', 'Nécropole de Cheikh Abd el-Gournah', 'Cheikh Abd el-Gournah', 'Cheikh Abd el-Qourna', 'El Qurna', ""Al-Šayẖ 'Abd al-Qurnah"", 'Sheikh Abd el-Gourna', 'Sheikh Abd el-Gournah', 'Scheich Abd-el-Qurna', 'Gournah']",[],"['Sheikh-Abd-El Qurna', 'Sheikh Abd el-Qurna', 'Cheikh Abd el-Gourna', 'Nécropole de Cheikh Abd el-Gournah', 'Cheikh Abd el-Gournah', 'Cheikh Abd el-Qourna', 'El Qurna', ""Al-Šayẖ 'Abd al-Qurnah"", 'Sheikh Abd el-Gourna', 'Sheikh Abd el-Gournah', 'Scheich Abd-el-Qurna', 'Gournah']"
941,https://www.idref.fr/191568538.rdf,"['Sanctuaire des Dioscures', 'Δήλος', 'Διοσκούρειον', 'Dioskourion', 'Délos', 'Ιερό των Διοσκούρων']",[],"['Sanctuaire des Dioscures', 'Δήλος', 'Διοσκούρειον', 'Dioskourion', 'Délos', 'Ιερό των Διοσκούρων']"
942,https://www.idref.fr/191915645.rdf,"[""Maison à la table d'offrande"", 'Δήλος', 'House of Fourni', 'Delos', 'Délos', 'Οικία των Φούρνων', 'Maison de Fourni']",[],"[""Maison à la table d' offrande"", 'Δήλος', 'House of Fourni', 'Delos', 'Délos', 'Οικία των Φούρνων', 'Maison de Fourni']"
943,https://www.idref.fr/191561827.rdf,"['Δήλος', 'Citerne du Théâtre', 'Δεξαμενή του Θεάτρου', 'Theatre cistern', 'Délos']",[],"['Δήλος', 'Citerne du Théâtre', 'Δεξαμενή του Θεάτρου', 'Theatre cistern', 'Délos']"
944,https://www.idref.fr/191539503.rdf,"['Δήλος', 'Délos', 'Ασκληπιείον', 'Asklépieion']",[],"['Δήλος', 'Délos', 'Ασκληπιείον', 'Asklépieion']"
945,https://www.idref.fr/050407899.rdf,"['Sheikh Abd el-Qurna', 'Temple funéraire de Ramsès II', 'Cheikh Abd el-Gourna', 'Ramesseum', 'Thèbes', 'Cheikh Abd el-Gournah', 'Cheikh Abd el-Qourna', ""Château de millions d'années de Ramsès II"", ""Tombeau d'Osymandias"", ""Temple des millions d'années de Ramsès II"", 'Sheikh Abd el-Gournah', 'Scheich Abd-el-Qurna']",[],"['Sheikh Abd el-Qurna', 'Temple funéraire de Ramsès II', 'Cheikh Abd el-Gourna', 'Ramesseum', 'Thèbes', 'Cheikh Abd el-Gournah', 'Cheikh Abd el-Qourna', ""Château de millions d' années de Ramsès II"", ""Tombeau d' Osymandias"", ""Temple des millions d' années de Ramsès II"", 'Sheikh Abd el-Gournah', 'Scheich Abd-el-Qurna']"
946,https://www.idref.fr/192082213.rdf,"['Δήλος', 'Delos', 'Stadium Quarter', 'Quartier du Stade', 'Délos', 'Συνοικία του Σταδίου']",[],"['Δήλος', 'Delos', 'Stadium Quarter', 'Quartier du Stade', 'Délos', 'Συνοικία του Σταδίου']"
947,https://www.idref.fr/027334740.rdf,"['Kom Auchim', 'Qaranis', 'Kom Aushim', 'Karānīs', 'Karanis']",[],"['Kom Auchim', 'Qaranis', 'Kom Aushim', 'Karānīs', 'Karanis']"
948,https://www.idref.fr/031890903.rdf,"['Deir Wadi Umm Hussein', 'Mons Claudianus', 'Désert oriental', 'Wādī Umm Ḥusayn', 'Dayr Wādī Umm Ḥusayn', 'Ouadi Oum-Hussein']",[],"['Deir Wadi Umm Hussein', 'Mons Claudianus', 'Désert oriental', 'Wādī Umm Ḥusayn', 'Dayr Wādī Umm Ḥusayn', 'Ouadi Oum-Hussein']"
949,https://www.idref.fr/030335426.rdf,"[""Temple d'Al-Uqsur"", 'Louksor', ""Temple d'Amon"", 'Temple de Louqsor', 'Louxor', 'Opet du sud', ""Temple d'Amon-Min"", 'Louqsor', 'Temple de Luqsor', 'Temple', 'Temple de Luxor', 'Maʻābid al-Uqṣur', 'Temple de Louxor', ""Temple d'El-Oqsor"", 'Thèbes', ""Temple d'El-Uqsur""]",['Temple'],"[""Temple d' Al-Uqsur"", 'Louksor', ""Temple d' Amon"", 'Temple de Louqsor', 'Louxor', 'Opet du sud', ""Temple d' Amon-Min"", 'Louqsor', 'Temple de Luqsor', 'Temple', 'Temple de Luxor', 'Maʻābid al-Uqṣur', 'Temple de Louxor', ""Temple d' El-Oqsor"", 'Thèbes', ""Temple d' El-Uqsur""]"
950,https://www.idref.fr/191839914.rdf,"['Δήλος', 'Νησίδα των Κοσμημάτων', 'Delos', 'Îlot des Bijoux', 'Délos', 'Insula of the Jewels']",[],"['Δήλος', 'Νησίδα των Κοσμημάτων', 'Delos', 'Îlot des Bijoux', 'Délos', 'Insula of the Jewels']"
951,https://www.idref.fr/191840769.rdf,"['Δήλος', 'Νησίδα των Χάλκινων', 'Îlot des Bronzes', 'Délos']",[],"['Δήλος', 'Νησίδα των Χάλκινων', 'Îlot des Bronzes', 'Délos']"
952,https://www.idref.fr/070943524.rdf,"[""Tombe d'Ipouky"", 'Tomb of Nebamun and Ipuky', 'Maqbaraẗ Nb Āmūn wa Ībūky', 'H̱wẖaẗ', 'Tombe de Nebamun', 'Tombe de Nebamon', 'Tombe TT181', ""Tombe d'Ipuky"", 'Thèbes', 'Tombe de Nebamon et Ipouky', 'El-Khōkha', 'El Chocha', 'Tombe des Deux Sculpteurs', ""Tombe d'Ipouki"", 'Tombe de Nebamon et Ipouki', 'Khokha', 'Tombe de Nebamun et Ipuky']",[],"[""Tombe d' Ipouky"", 'Tomb of Nebamun and Ipuky', 'Maqbaraẗ Nb Āmūn wa Ībūky', 'H̱wẖaẗ', 'Tombe de Nebamun', 'Tombe de Nebamon', 'Tombe TT181', ""Tombe d' Ipuky"", 'Thèbes', 'Tombe de Nebamon et Ipouky', 'El-Khōkha', 'El Chocha', 'Tombe des Deux Sculpteurs', ""Tombe d' Ipouki"", 'Tombe de Nebamon et Ipouki', 'Khokha', 'Tombe de Nebamun et Ipuky']"
